Creator,Ponzi_Addresses_Count,Ponzi_Addresses,Non_Ponzi_Addresses_Count,Non_Ponzi_Addresses
0xd3cda913deb6f67967b99d67acdfa1712c293601,0,,18,"0xd07ce4329b27eb8896c51458468d98a0e4c0394c, 0x8017f24a47c889b1ee80501ff84beb3c017edf0b, 0xcca8353a18e7ab7b3d094ee1f9ddc91bdf2ca6a4, 0x07307d0b136a79bac718f43388aed706389c4588, 0x89efe605e9ecbe22849cd85d5449cc946c26f8f3, 0x7c1eb207c07e7ab13cf245585bd03d0fa478d034, 0x1deeda36e15ec9e80f3d7414d67a4803ae45fc80, 0xe54d323f9ef17c1f0dede47ecc86a9718fe5ea34, 0x6c8f2a135f6ed072de4503bd7c4999a1a17f824b, 0x1c68f4f35ac5239650333d291e6ce7f841149937, 0xe197529709d7cbaf31756c6d9b8742718e17fca5, 0x0a43edfe106d295e7c1e591a4b04b5598af9474c, 0xdb6d68e1d8c3f69d32e2d83065492e502b4c67ba, 0xee2157c15a43be80faac64801ed89c8d8e2c4d3a, 0x9e475f8b49be49daf0571a53dda0fc9bfdbcf505, 0x7cf51743ed1bce645e1bb4a3619b73cc782c8de6, 0xee4e09a72c5f8d60ce09b4b90dd1ee680fc375fe, 0xdd94de9cfe063577051a5eb7465d08317d8808b6"
0x0047a8033cc6d6ca2ed5044674fd421f44884de8,0,,2,"0x1d11e5eae3112dbd44f99266872ff1d07c77dce8, 0xf05782932dbabde1d657a5311fc3b78db81c60e7"
0x48175da4c20313bcb6b62d74937d3ff985885701,0,,2,"0x276c5c6ca8507ed7bac085fc9b9521f4f54b58d3, 0x83d904a2489bae727c1037469206891d8d058d92"
0xd1220a0cf47c7b9be7a2e6ba89f429762e7b9adb,0,,6,"0xfb6916095ca1df60bb79ce92ce3ea74c37c5d359, 0x4ab274fc3a81b300a0016b3805d9b94c81fa54d2, 0xed6ac8de7c7ca7e3a22952e09c2a2a1232ddef9a, 0xe9da10f1aba727bfb3641846ed4d5bbf2add39c4, 0x1e9d5e4ed8ef31cfece10b4c92c9057f991f36bc, 0x1ca4a86bba124426507d1ef67ad271cc5a02820a"
0xbf885e2b55c6bcc84556a3c5f07d3040833c8d00,0,,2,"0x2ef76694fbfd691141d83f921a5ba710525de9b0, 0x5a5eff38da95b0d58b6c616f2699168b480953c9"
0xdd68da49b2a0c46eb508bd4f18044b5c6268ad60,2,"0xe82719202e5965cf5d9b6673b7503a3b92de20be, 0xbb9854bfd082c48b4d426ac6a2a152b01326f46f",0,
0x5149ebf29b2fc0206dd5a2b4bf8f429abf66f0f1,0,,3,"0xb36ce92cad11e7a9b903531f30590ebc2e991ea6, 0x25db0f59bf166c49d1f859c9cb5928cbbf685981, 0xa9e2320d9e6c17eb45a921cb2698b42256f5e142"
0xe3c47647b0aaa19c214f76d7a4750732a21227a3,0,,8,"0x2a3967d9b88c11612503d45411c7d07a13554250, 0xa3d4d7df3988d48c48728787cb5910a8a4cc4d26, 0xb883a8b06adde298774fea3e6f6ba2675f07949a, 0x43480db5adbeb354f3e1e1596443afad056bd63d, 0xc6b330df38d6ef288c953f1f2835723531073ce2, 0xaf0f6a53269fc9dbbd9da9f11c368d36b7a60006, 0x2136bbba2edca21afdddee838fff19ea70d10f03, 0xc39d73fca64d4ffe2c78fb17e61b9c8489f7c5fb"
0x2ff080a723010c7ddbd923f50a1083f93173030c,1,0xcaaca224e35d0a1fa3304a3c4ec8beb5f28a99aa,1,0x8154ae317a767e69d7f427aebdfbdddadcd5cf48
0x0b3383604526d50be20607ee1684ae96c6859b7f,0,,3,"0x7753a9d834844cfde5c211ec3912b49f0d8b8e11, 0x615d2c5155ea9841f2a926c3a4953d140d407c99, 0x0312855bb6e548578a36fa8de63b8f0d3d7d7dc2"
0x4366ddc115d8cf213c564da36e64c8ebaa30cdbd,0,,2,"0xf0160428a8552ac9bb7e050d90eeade4ddd52843, 0xe0b7927c4af23765cb51314a0e0521a9645f0e2a"
0xab092d201ccdbd22a08c13e717841d09bf61fb84,2,"0x19a6067538c90973ef5dc31ded5fa567f3d09059, 0xfe3672eff595cfd36ed05aaf4622d1aec3b5e852",0,
0xd7aac26da63a9b3e4bef54b5585a563a6ca248f9,0,,2,"0x566c1023aaf10180b4eb9533050fbf91d7792af1, 0x33a8ea1c8c6294c9f65f3dad7ca7f037bd09f951"
0xb7b8893021cccdde74bf7c7188386afc4a0d844d,0,,2,"0x144bf2bbc61a5ae867d7e1fd603015df7f6d4fb6, 0xd43cbd8a74535327a8a196ea36cd44fc799ca289"
0x0aaea620b853af1e4f514b688c551f2018f54182,0,,3,"0xb57acd47240599d0c68f14892dd05441af67e2d3, 0x466f39a5fd8d1bd54ea7e82975177c0f00c68492, 0xe941e5d4a66123dc74886699544fbbb942f1887a"
0xebb8cd1cee016ad4b5b54d9f686523223e4ed273,2,"0x1213c29b5e1a6f33e0d044f850a57b665e3cde21, 0x2a53f42ad8bba138c21b50a4e5711f18381a61e9",0,
0x97eedb324b5ab7ddd100d027e990a05037e61b37,4,"0x7894ccf2997c8c89a80b86faa012d09d53ed48b9, 0x7fcc7ed28c99f64f721be410ad816247925aade8, 0x4398a4a10347d8f18029c07853a7a689eebbb925, 0xa864694cacdf27900afb3c32b1b07aea3c465dde",0,
0xb5735aa45cc756430151bf460a647a33ec2c057d,2,"0x49f053b866c33185fa1151e71fc80d5fe6b08a92, 0xbe46324018124b2d604c2f3eae91d3de9b388b09",0,
